document_id,Review_clean,sentiment
1,margot best she given film disappoint it market fun quirki satir homag movi it start way end overdramat speech end clearli tri make audienc feel someth left everyon feel confus and say im crotcheti old man im woman im pretti sure im movi target audienc the saddest part parent kid theater victim poor market kid movi overal humor fun occas film beauti look whole concept fall apart second half film becom piti parti strong woman,neutral
2,befor make barbi greta gerwig singlehandedli direct two film ladi bird littl woman both girl precipic adolesc nuanc layer portray motherdaught relationship combin imagin visual clever dialogu both good given credenti one may expect barbi intellig convinc amus pictur well isntth fantasi comedi begin barbi land place barbi play margot robbi best day everi day compani barbi occasion ken the design costum cinematographi excel job recreat mattel vision pink plastic perfect the introduct referenti overtli reliant extern film smartli selfawar present world barbi anyth presid physicist journalist lawyer mermaid much like origin toy ken ryan gosl come afterthought exist within warmth barbi gazeth plot set motion barbi begin thought death normal suspend state stand ball foot feel heel hit ground what follow the wizard oz journey revers parallel explicit ultim pinocchio storylin doll real worldif barbi fulli dedic conceit promis trailer could interest explor way the truman show stranger than fiction instead film choos introduc hand conflict threat plotlin never fulli realis what natur connect barbi girl play doll real world what would happen barbi put back box whi gloria america ferrera receptionist mattel headquart later barbi realworld companion depress eventu resolv whi gloria daughter sasha ariana greenblatt cross mother whi board mattel spend one third film hide bush most importantli crux thirdact conflict set barbi land renam kendom contradict previous establish world inhabitantstoward final product evolv explicit commentari gender role one side present clueless attentionseek manipul veng the film repeatedli take offenc mansplain yet behav blith patronis manner toward viewer much declar support shown pictur reli presum prior experi audienc rather storytel while denouement includ one film highlight music number im just ken end resolv acknowledg much final scene reduct point offensivebarbi easi eye act rang compet inspir praiseworthi perform lead actor margot robbi pitchperfect barbi ryan gosl shine counterpart often steal show situat comedi slapstick mostli land bon mot funni yet hardli plausibl spoken charactersif better written if joyrid pink convert leav blond hair mouth,neutral
3,the qualiti humor write movi fun it quirki uniqu when get weed tri explor deeper theme movi miss the middl exposit phase movi i must say boreth movi close great incap deliv messag without charact liter give speech worth dialoguewhat could great satir began cleverli funni movi turn preachi moral movi end but i guess charm first half movi made shortcom,positive
4,a much pain give movi call barbi i it brilliantli handl fine craft i give filmak credit ye i somewhat conserv person former law enforc offic im guy i like guy thing hell i even enjoy battleship movi year ago absolut ridicul fun romp action film but i also like experi perspect and man oh man movi deliv spade pretti much encapsul everyth wife tri convey entir career life experi wrap two hour the humor set act abil weav current narr stori perfect i dont agre point movi that ok thi movi wasnt design give balanc perspect men versu woman noholdsbar unapologet crazi ride rant real issu woman face sinc allow real job thing men give well done film blast watch make think done place creativ passion attent detail ill call masterpiec,neutral
5,a woman grew barbi i excit movi i curiou see would evolv stereotyp barbi someth but messag movi heavi hand complet lost plot i consid propon gender equal aint way get itbarbieland flip script patriarchi real world give woman power leav ken attract accessori onc ken get glimps real world bring patriarchi barbieland barbi brainwash happen suddenli without much explan the ken bumbl fool zero understand govern barbieland fall disarrayth movi solut barbi give lot ted talk patriarchi fool ken war rule but isnt point gender equal equalityth feminist messag could much effect laid thick more humor nuanc plea the stori get lost real world charact dont add much much chang endwhat enjoy act set cours nostalgia,neutral
6,it pain say i enjoy movi much i expect music number humour truli someth whole famili yo enjoybright garish somewhat kitsch expect sure verit cornucopia glitter rainbow i wasnt expect film engag there actual real depth i wasnt expect that open introduct came major surpris pretti much set toneof cours plenti doubl entendr laugh adult enjoy kid doubt chuckl away tooim pretti sure film go win award product well made creativ design visual lot thought gone greta gerwig great jobmargot robbi gloriou barbi ryan gosl great i thought the pair share terrif scene real chemistri plenti cut one linersgreat use music everyth fit film well,positive
7,the first reason go see itit good fun it fairytal comedi top pastich work it simpli margot robi ryan gosl great chemistri everybodi sorta agre thatkid probabl target audienc although would watch wouldnt shock someth would mere miss social gender issu joke mani scenesth second reason go see itit realli look part i set costum particular i impress fun world creat it realli look fabul i realli appreci movi eyecandi start till finishth third best reason go see iti dude i honestli fear worst go along wife but i honestli expect sugarco fairytal barbieworld touch heart end what whatthey somehow creat final gave goosebump terrif feel good vibe you cant wish a dude watch barbi pictur helloth reason against see itif dude dont like men portray weak emot inferior woman better go see men hilari looser whiner movi brilliant perform ryan gosl insecur crybabi cant get barbi love himfear worst end i pleasantli supris it certainli brilliant movi perfect summer escap movi lot joke wonder feel good vibe,positive
8,i thought would much differ the end made feel sad empti ken barbi dont end togeth made ken seem like complet idiot actual present men dumb throughout whole movi and im man that true it depress sad never way barbi creat i know lot peopl wont agre that okay pointless go see the good thing barbi aesthet beauti donei like way present men almost like want woman turn men which case point movi degrad mani peopl,neutral
9,i dont know i put spoiler i super worn haha so i put i didi clue movi like it seem like strang differ type movi to go kind movi kid tell everyth perfect it noth like thatther coupl young teen girl right mom i felt weird know there way i would bring kid teen see thisth movi realli focus polit gender view so one total surpris mether point i kind roll eye a bit sing kind went there also time i tearyther sexual refer young kid would understand but one part tell specif thing specif thing ken bit strangeth end threw here movi seem say equal treat way yet time seem make men mindless idiot also someth one male charact ask end repli woman give seem lead one believ thing exact but unlik way thing seem barbi land woman men i didnt realli get then may last line movi place barbi somewher i didnt get point iti heard adult laugh repeatedli the kid kind sat silentthi one movi i see everi watch but fun uniqu see theater also i dug set design stuff barbi world it cool see,neutral
10,i went see today everyon group dress pink readi least entertain pastelcolor camp two hour barbi kind succe i love costum set barbieland margot robi fantast actress perfect embodi optimist shecandoital barbi ryan gosl scenesteal hors ob faux mink coatdespit movi whole disappoint a much succe campi comedi music number attempt feminist commentari existenti fall flat the messag nose spell right audienc one strain brain not scene cant funni hit home guitar gag gave colleg flashback littl subtleti could hurti also issu differ barbieland real world i accept everyon barbieland talk mani term marvel speak if youv watch anyth made past year youll recogn right away you know make pop cultur refer like spiderman mcu alien say think bluntest way possibl awkward funni oooor wa novel new year ago now staler pepsi clear oh yeah i rememb macarenath barbi ken suppos simplist figur sen emot nuanc howev human real world suppos opposit messi complic charm whi also talk like it feel lazyand existenti theme margot robi barbi get tire ideal independ womanhood etern paradis at end choos human embrac mortal mortal ultim give live mean a decent theme too bad movi never realli delv it given lip servic noth moreit cute moment honestli end experi meh the hype memor finish product,negative
